               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11748,             0.10419,            0.054339,            0.012877,             0.16586,           0.0093968,           0.0019294,             0.12396,            0.066432,            0.055334,              0.0991,              0.0001,              0.0001
                   1,             0.11555,            0.074534,              0.0542,            0.012224,             0.17619,           0.0095703,           0.0021397,             0.12125,            0.071033,            0.055042,            0.097297,          0.00029703,          0.00029703
                   2,              0.1136,            0.095045,            0.054378,            0.013904,             0.16333,            0.010769,           0.0024856,             0.11551,            0.080295,            0.054529,             0.09549,           0.0004901,           0.0004901
                   3,             0.10917,             0.11352,             0.05264,            0.024439,             0.28528,            0.026044,           0.0055382,             0.10714,            0.093109,            0.053879,            0.093679,          0.00067921,          0.00067921
                   4,             0.10728,            0.095467,            0.053044,            0.025127,             0.32685,            0.041955,           0.0077204,            0.099505,             0.10366,            0.053366,            0.091864,          0.00086436,          0.00086436
                   5,              0.1012,              0.1296,            0.051335,            0.023069,             0.36304,             0.04991,           0.0089191,            0.092889,             0.11032,            0.052643,            0.090046,           0.0010455,           0.0010455
                   6,            0.097039,             0.17688,            0.051507,            0.019957,             0.35624,            0.053172,           0.0099666,            0.088252,             0.11018,            0.051801,            0.088223,           0.0012228,           0.0012228
                   7,            0.089218,             0.11544,            0.051323,             0.56117,             0.13371,            0.065281,            0.019858,            0.086774,             0.10358,            0.050977,            0.086396,            0.001396,            0.001396
                   8,            0.080497,              0.1032,            0.049045,             0.57633,             0.10453,            0.089152,             0.03108,            0.079504,             0.10584,            0.050226,            0.084565,           0.0015654,           0.0015654
                   9,            0.080648,            0.087331,            0.049708,             0.40707,             0.13992,             0.10152,            0.037902,            0.075542,             0.10534,            0.049191,            0.082731,           0.0017307,           0.0017307
                  10,             0.08032,              0.1398,            0.046433,             0.75425,             0.10819,              0.1093,             0.04108,            0.077605,             0.10427,            0.048395,            0.080892,           0.0018921,           0.0018921
                  11,            0.075606,             0.12293,            0.045532,             0.75524,             0.13743,             0.14183,            0.054238,            0.070738,             0.10693,            0.047516,             0.07905,           0.0020495,           0.0020495
                  12,            0.078691,             0.10792,            0.043535,             0.13513,             0.52778,             0.23577,             0.10697,             0.06448,              0.1031,              0.0465,            0.077203,            0.002203,            0.002203
                  13,            0.072674,             0.10719,            0.044507,             0.95728,             0.12573,             0.20378,            0.095176,            0.073075,             0.11012,            0.045905,            0.075353,           0.0023525,           0.0023525
                  14,            0.074548,             0.14267,            0.043427,             0.94481,             0.14327,              0.1825,            0.084268,              0.0632,             0.12951,            0.045694,            0.073498,           0.0024981,           0.0024981
                  15,            0.070044,             0.10713,            0.041959,             0.91984,             0.14833,             0.16533,              0.0413,            0.075292,             0.14576,            0.045374,             0.07164,           0.0026396,           0.0026396
                  16,            0.071774,            0.084418,            0.038739,             0.89459,             0.12575,             0.10279,            0.028174,            0.061025,             0.14667,            0.044879,            0.069777,           0.0027773,           0.0027773
                  17,            0.066211,            0.091581,            0.042238,             0.24754,             0.33387,             0.24602,            0.078036,            0.080956,             0.13717,              0.0439,            0.067911,           0.0029109,           0.0029109
                  18,            0.077095,             0.06889,            0.039358,             0.93346,             0.16082,             0.24253,            0.074992,            0.080274,             0.12866,            0.043414,            0.066041,           0.0030407,           0.0030407
                  19,             0.07232,             0.10223,            0.042729,             0.94079,             0.15205,             0.17977,            0.048007,            0.053424,             0.12304,            0.042911,            0.064166,           0.0031664,           0.0031664
                  20,            0.069376,            0.094214,            0.040222,             0.22295,             0.38519,            0.068821,            0.022133,            0.084116,             0.13566,            0.042453,            0.062288,           0.0032882,           0.0032882
                  21,            0.068549,            0.071751,            0.039048,             0.94806,             0.15789,             0.21497,            0.069157,            0.057762,             0.11104,            0.042041,            0.060406,            0.003406,            0.003406
                  22,            0.065777,            0.081139,            0.038947,             0.56453,             0.24074,            0.096475,            0.027083,            0.070978,             0.11142,            0.041684,             0.05852,           0.0035199,           0.0035199
                  23,            0.065271,            0.089706,             0.03886,             0.58947,             0.30294,             0.24224,            0.079038,            0.055767,            0.098407,              0.0414,             0.05663,           0.0036298,           0.0036298
                  24,            0.073635,            0.082535,            0.032431,             0.92845,             0.11272,             0.12251,            0.027274,            0.082646,              0.1025,             0.04097,            0.054736,           0.0037358,           0.0037358
                  25,            0.074371,            0.063009,            0.036025,             0.96204,             0.15497,             0.24668,            0.082515,            0.068478,            0.086622,             0.04053,            0.052838,           0.0038378,           0.0038378
                  26,            0.070461,            0.060416,            0.033068,              0.6539,             0.33333,             0.35048,             0.12336,            0.064887,            0.077046,            0.040155,            0.050936,           0.0039358,           0.0039358
                  27,            0.069843,            0.078806,            0.041639,              0.6539,             0.33333,             0.35048,             0.12336,            0.064887,            0.077046,            0.040155,             0.04903,           0.0040299,           0.0040299
                  28,            0.067032,            0.073655,             0.03803,             0.81507,             0.32814,             0.30857,            0.091405,            0.058447,            0.079609,            0.039771,             0.04712,             0.00412,             0.00412
                  29,            0.069298,            0.071125,            0.034854,             0.81452,             0.30821,             0.28515,             0.08542,            0.069069,            0.078751,            0.039487,            0.045206,           0.0042061,           0.0042061
                  30,            0.074071,            0.065981,            0.040881,             0.81452,             0.30821,             0.28515,             0.08542,            0.069069,            0.078751,            0.039487,            0.043288,           0.0042883,           0.0042883
                  31,            0.071066,            0.072311,            0.038961,             0.61408,             0.33333,             0.42593,             0.23742,            0.069408,            0.075967,            0.038882,            0.041367,           0.0043665,           0.0043665
                  32,            0.069941,            0.059375,            0.037712,             0.79905,             0.33333,             0.37495,             0.15338,            0.055097,            0.076047,            0.038269,            0.039441,           0.0044408,           0.0044408
                  33,             0.06159,             0.06607,            0.033853,             0.79905,             0.33333,             0.37495,             0.15338,            0.055097,            0.076047,            0.038269,            0.037511,           0.0045111,           0.0045111
                  34,             0.06696,            0.081086,            0.031542,             0.79652,             0.33333,               0.284,             0.12632,            0.071574,            0.087237,            0.037766,            0.035577,           0.0045775,           0.0045775
                  35,            0.070556,            0.059092,            0.035392,             0.79949,             0.25781,             0.41802,              0.2173,            0.060707,            0.074372,            0.036969,             0.03364,           0.0046399,           0.0046399
                  36,            0.067269,            0.051168,            0.037805,             0.79949,             0.25781,             0.41802,              0.2173,            0.060707,            0.074372,            0.036969,            0.031698,           0.0046983,           0.0046983
                  37,            0.064996,             0.06705,            0.036679,             0.81327,                0.25,             0.37807,              0.2413,            0.065181,             0.06619,            0.036145,            0.029753,           0.0047528,           0.0047528
                  38,             0.07023,            0.064626,            0.037566,             0.47422,             0.42588,             0.22828,            0.066177,            0.075818,            0.057896,            0.035353,            0.027803,           0.0048033,           0.0048033
                  39,            0.075952,            0.068198,            0.033824,             0.47422,             0.42588,             0.22828,            0.066177,            0.075818,            0.057896,            0.035353,             0.02585,           0.0048498,           0.0048498
                  40,            0.069827,            0.097065,            0.035761,             0.50924,             0.49306,             0.42695,             0.20594,            0.056856,            0.054818,            0.034511,            0.023892,           0.0048924,           0.0048924
                  41,            0.061316,            0.096279,            0.032127,              0.5976,             0.50801,             0.44401,             0.23628,            0.062531,            0.056836,            0.033957,            0.021931,            0.004931,            0.004931
                  42,            0.071609,            0.092406,             0.03476,              0.5976,             0.50801,             0.44401,             0.23628,            0.062531,            0.056836,            0.033957,            0.019966,           0.0049657,           0.0049657
                  43,            0.075884,            0.078092,            0.031281,              0.5498,             0.43905,             0.41732,             0.13881,            0.059057,             0.05499,            0.033302,            0.017996,           0.0049964,           0.0049964
                  44,            0.063536,            0.056509,            0.035105,              0.5498,             0.43905,             0.41732,             0.13881,            0.059057,             0.05499,            0.033302,            0.016023,           0.0050232,           0.0050232
                  45,            0.067595,            0.080518,            0.032477,             0.52483,                 0.5,             0.46804,             0.17674,            0.060281,            0.051741,            0.032497,            0.014046,            0.005046,            0.005046
                  46,            0.065518,              0.0596,            0.035433,             0.52483,                 0.5,             0.46804,             0.17674,            0.060281,            0.051741,            0.032497,            0.012065,           0.0050648,           0.0050648
                  47,            0.063239,              0.0704,            0.034155,             0.82361,             0.32158,             0.36725,              0.1905,            0.078087,              0.0696,            0.031837,             0.01008,           0.0050797,           0.0050797
                  48,             0.07763,            0.082667,            0.031464,             0.82361,             0.32158,             0.36725,              0.1905,            0.078087,              0.0696,            0.031837,           0.0080906,           0.0050906,           0.0050906
                  49,            0.080902,            0.054582,            0.033145,             0.88057,             0.32309,             0.41496,             0.12046,            0.065263,            0.051378,            0.031091,           0.0060975,           0.0050975,           0.0050975
                  50,            0.066314,            0.066399,            0.033466,             0.88057,             0.32309,             0.41496,             0.12046,            0.065263,            0.051378,            0.031091,             0.00505,             0.00505,             0.00505
                  51,            0.067639,            0.048272,            0.035816,             0.91948,             0.30312,             0.55305,             0.25082,            0.058666,            0.052084,            0.030693,             0.00505,             0.00505,             0.00505
