               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11467,             0.10114,            0.054192,            0.011742,             0.18875,            0.012941,            0.002466,             0.10548,            0.072395,            0.053961,              0.0946,              0.0006,              0.0006
                   1,              0.1002,             0.13467,            0.051666,            0.020041,             0.59436,             0.04541,            0.010355,            0.081725,            0.082303,            0.051233,            0.088287,           0.0012871,           0.0012871
                   2,            0.084075,             0.11681,            0.048319,             0.24541,             0.21443,             0.11397,            0.040684,            0.065539,             0.06965,            0.047708,             0.08196,           0.0019604,           0.0019604
                   3,            0.078204,             0.10371,            0.044394,             0.89657,            0.085965,             0.10063,            0.032048,            0.074997,            0.099083,            0.046436,             0.07562,           0.0026198,           0.0026198
                   4,            0.072516,            0.086414,            0.041493,             0.89688,             0.11228,             0.12052,             0.03209,             0.07148,             0.10886,             0.04465,            0.069265,           0.0032654,           0.0032654
                   5,            0.074393,            0.081283,            0.039924,             0.87563,            0.087719,            0.084512,            0.020123,            0.077708,            0.071961,            0.043277,            0.062897,            0.003897,            0.003897
                   6,            0.070939,            0.067952,            0.042878,             0.94845,             0.12281,             0.23572,            0.084182,            0.074848,             0.04999,            0.041245,            0.056515,           0.0045149,           0.0045149
                   7,            0.077778,            0.069587,            0.039175,             0.53468,             0.26236,            0.058661,             0.02102,            0.071644,             0.05055,            0.040677,            0.050119,           0.0051188,           0.0051188
                   8,            0.077626,            0.092673,            0.036985,             0.40229,             0.48234,             0.12686,            0.048631,            0.067933,             0.04885,            0.039047,            0.043709,            0.005709,            0.005709
                   9,            0.076374,            0.075401,            0.035532,              0.7866,             0.31571,             0.32665,             0.10132,             0.06381,            0.040803,            0.037875,            0.037285,           0.0062852,           0.0062852
                  10,            0.075792,            0.073703,             0.03548,             0.59736,             0.27403,             0.13619,             0.05359,            0.074887,            0.040375,            0.036456,            0.030848,           0.0068476,           0.0068476
                  11,            0.076125,             0.06606,            0.033775,             0.81998,             0.20271,             0.28053,             0.10942,            0.064931,            0.039668,            0.035889,            0.024396,           0.0073961,           0.0073961
                  12,            0.070178,             0.06704,            0.033676,              0.4671,             0.51799,             0.32786,             0.13197,             0.07115,            0.042488,            0.035431,            0.017931,           0.0079308,           0.0079308
                  13,            0.071031,             0.07598,            0.032192,             0.79558,             0.22377,             0.28949,            0.079359,            0.080407,            0.056851,            0.033023,            0.011452,           0.0084516,           0.0084516
                  14,            0.077163,            0.078474,            0.031526,             0.49991,             0.49777,              0.3347,            0.075541,            0.080889,            0.042721,             0.03078,            0.008614,            0.008614,            0.008614
                  15,            0.078611,            0.066712,            0.030769,             0.81579,             0.21362,             0.35616,             0.11821,            0.062152,            0.038442,             0.02845,            0.008614,            0.008614,            0.008614
                  16,            0.070834,            0.075127,            0.030979,             0.85462,             0.23482,             0.19466,            0.080242,            0.086335,            0.045394,            0.027342,            0.008515,            0.008515,            0.008515
                  17,             0.07978,            0.064727,            0.027597,             0.81939,             0.27655,             0.29563,             0.09654,            0.085502,            0.041353,            0.025607,            0.008416,            0.008416,            0.008416
                  18,            0.080715,            0.062068,             0.02709,             0.84209,             0.22506,             0.24278,            0.077594,            0.068414,            0.043114,            0.025525,            0.008317,            0.008317,            0.008317
                  19,            0.073603,             0.06868,            0.026992,             0.79928,             0.29014,             0.25219,            0.074133,            0.066076,            0.042519,             0.02417,            0.008218,            0.008218,            0.008218
                  20,            0.065181,             0.06243,            0.025964,             0.55066,             0.52454,             0.39354,             0.12914,            0.056443,            0.039931,            0.024637,            0.008119,            0.008119,            0.008119
                  21,            0.056727,            0.073634,            0.028182,             0.62644,             0.50437,             0.47127,             0.12827,            0.059506,            0.045682,            0.024358,             0.00802,             0.00802,             0.00802
                  22,            0.053046,            0.056783,            0.025733,             0.59543,             0.45926,             0.49954,             0.22408,            0.051953,            0.042226,            0.023712,            0.007921,            0.007921,            0.007921
                  23,            0.050257,            0.060769,            0.025531,             0.59651,             0.55926,             0.48492,             0.26194,            0.049071,            0.038947,            0.022765,            0.007822,            0.007822,            0.007822
                  24,             0.05198,             0.06255,            0.023458,             0.86048,             0.31617,             0.46605,             0.23957,            0.046755,            0.036611,            0.022069,            0.007723,            0.007723,            0.007723
                  25,            0.049738,            0.061279,            0.023003,             0.90113,             0.31242,             0.50033,             0.29554,            0.049212,            0.036283,            0.021323,            0.007624,            0.007624,            0.007624
                  26,            0.047269,            0.062423,            0.024371,             0.74922,             0.44444,             0.59391,             0.30291,            0.043209,            0.034079,            0.020247,            0.007525,            0.007525,            0.007525
                  27,            0.047112,            0.059804,            0.021804,             0.71521,             0.53395,             0.64285,             0.36539,            0.040751,            0.033947,            0.019446,            0.007426,            0.007426,            0.007426
                  28,            0.047204,            0.060558,            0.020632,             0.81619,             0.52599,             0.68331,             0.32422,            0.041389,            0.032797,            0.019235,            0.007327,            0.007327,            0.007327
                  29,             0.03881,            0.056266,             0.02013,             0.69093,             0.55536,              0.6653,             0.42978,            0.045783,              0.0382,            0.018791,            0.007228,            0.007228,            0.007228
                  30,            0.045484,            0.056838,            0.022731,             0.78458,             0.53463,             0.71055,             0.36016,            0.041449,            0.035007,            0.018571,            0.007129,            0.007129,            0.007129
                  31,            0.041517,            0.054219,            0.021407,              0.7866,             0.57268,             0.80244,             0.54175,            0.032525,            0.030537,             0.01802,             0.00703,             0.00703,             0.00703
                  32,            0.042915,            0.053384,            0.022326,             0.75585,             0.55975,              0.7897,             0.33411,            0.042113,            0.032873,            0.017626,            0.006931,            0.006931,            0.006931
                  33,            0.042127,            0.058744,            0.020419,             0.71576,             0.57465,             0.75489,             0.32551,            0.045808,            0.035627,             0.01701,            0.006832,            0.006832,            0.006832
                  34,            0.043527,            0.052975,            0.021463,             0.68137,              0.5704,             0.78434,             0.42265,            0.042092,            0.033251,            0.016571,            0.006733,            0.006733,            0.006733
                  35,            0.043939,            0.056326,            0.018573,             0.57971,              0.7906,             0.85659,             0.54974,            0.029781,             0.03031,            0.016008,            0.006634,            0.006634,            0.006634
                  36,            0.040036,            0.050279,            0.018792,              0.6559,             0.81051,             0.86885,             0.48829,            0.038299,            0.032167,              0.0159,            0.006535,            0.006535,            0.006535
                  37,            0.036313,            0.059062,            0.018313,             0.49733,             0.82781,             0.85235,             0.43376,            0.041697,            0.033872,            0.015237,            0.006436,            0.006436,            0.006436
                  38,            0.037899,            0.057718,            0.019234,             0.62387,             0.81464,              0.8809,             0.59192,            0.032382,             0.03026,            0.015072,            0.006337,            0.006337,            0.006337
                  39,            0.035348,            0.055123,            0.018882,             0.59441,             0.84374,             0.88415,             0.58031,            0.030023,            0.029745,            0.014875,            0.006238,            0.006238,            0.006238
                  40,             0.03564,            0.056154,            0.018732,             0.67522,              0.8254,             0.89274,             0.44615,            0.029222,            0.027863,             0.01482,            0.006139,            0.006139,            0.006139
                  41,            0.034098,            0.056394,            0.017708,              0.5588,             0.84458,             0.88565,             0.50533,            0.039909,            0.032848,            0.014401,             0.00604,             0.00604,             0.00604
                  42,            0.035108,            0.055816,            0.017761,             0.54517,             0.83249,             0.87334,             0.57226,            0.034513,            0.032691,            0.013992,            0.005941,            0.005941,            0.005941
                  43,            0.038703,            0.056457,            0.018524,             0.65683,             0.85468,             0.87788,             0.64499,            0.028026,            0.028842,            0.013884,            0.005842,            0.005842,            0.005842
                  44,            0.033326,            0.048891,            0.017005,             0.69682,             0.84737,             0.87287,             0.59107,            0.028061,            0.028953,            0.013612,            0.005743,            0.005743,            0.005743
                  45,            0.034014,            0.056176,            0.014569,             0.69687,             0.86971,             0.89711,             0.46252,            0.037441,            0.032045,             0.01322,            0.005644,            0.005644,            0.005644
                  46,            0.033545,            0.051668,            0.016099,             0.70163,             0.90018,             0.90181,              0.6064,            0.032209,            0.029997,            0.012975,            0.005545,            0.005545,            0.005545
                  47,            0.034326,            0.046248,            0.015774,              0.7609,             0.83067,             0.90712,             0.60069,            0.028678,            0.029018,            0.012804,            0.005446,            0.005446,            0.005446
                  48,            0.033231,            0.049335,            0.015928,             0.84205,             0.81046,             0.89838,             0.62775,            0.028324,            0.028322,            0.012758,            0.005347,            0.005347,            0.005347
                  49,            0.031375,            0.050479,            0.015055,             0.82429,             0.77929,             0.88453,              0.6196,            0.029323,            0.028226,             0.01254,            0.005248,            0.005248,            0.005248
